# YTID, start_seconds, end_seconds, positive_labels
-BHPu-dPmWQ,30.0,40.0,"/m/04rlf,/t/dd00032"
00cjBW18AMM,30.0,40.0,"/m/04rlf,/t/dd00032"
1PSzSTilu_s,30.0,40.0,"/m/04rlf,/t/dd00032"
2G5bSYHcJSM,30.0,40.0,"/m/04rlf,/t/dd00032"
2ZbuPK4b41I,30.0,40.0,"/m/01j3sz,/m/04rlf,/m/07c52,/m/09x0r,/t/dd00032"
2hxIN0MTKbs,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00032"
2vQTq4QLP8U,100.0,110.0,"/m/04rlf,/t/dd00032"
3nbB3F-OdSM,30.0,40.0,"/m/04rlf,/m/05r6t,/m/0dl5d,/t/dd00032"
3vWm47yPLGc,110.0,120.0,"/m/04rlf,/t/dd00032"
6vM7Kv42Uv0,20.0,30.0,"/m/0145m,/m/04rlf,/t/dd00032"
7Us4WHDmfeA,30.0,40.0,"/m/04rlf,/m/064t9,/m/0ggx5q,/m/0l14gg,/t/dd00032"
7ZXz3Xa7APs,0.0,10.0,"/m/04rlf,/t/dd00032"
8bPbdrToU_k,30.0,40.0,/t/dd00032
977gktKZYhA,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00032"
AVPm96vrUQw,30.0,40.0,"/m/04rlf,/m/0l14gg,/t/dd00032"
B1va1NqaA4o,30.0,40.0,"/m/04rlf,/m/06bxc,/m/06cqb,/m/0glt670,/t/dd00032"
BxbB2_N5Xtk,30.0,40.0,"/m/04rlf,/t/dd00032"
C1pyHakPaIE,30.0,40.0,"/m/04rlf,/m/05fw6t,/m/0l14jd,/t/dd00032"
EAzVz1hF1GY,30.0,40.0,"/m/01z7dr,/m/04rlf,/m/0l14gg,/t/dd00032,/t/dd00035"
EKeQVypHEyU,90.0,100.0,"/m/04rlf,/t/dd00032"
EaGhKzpkNso,30.0,40.0,"/m/04rlf,/t/dd00032"
FTOgsepaqcs,190.0,200.0,"/m/03m5k,/m/04rlf,/t/dd00032"
FaD9qs2ACpI,30.0,40.0,"/m/04rlf,/t/dd00032"
Ibjz44Er_qs,10.0,20.0,"/m/015lz1,/m/04rlf,/m/05fw6t,/t/dd00032"
IpojOmWxu0k,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00032"
J5yyH0Dkang,90.0,100.0,"/m/04rlf,/t/dd00032"
JvqCsVj0I4k,30.0,40.0,"/m/028sqc,/m/04rlf,/t/dd00032"
KCytKo5LzCc,30.0,40.0,"/m/04rlf,/t/dd00032"
L9j9fCHHPeg,90.0,100.0,"/m/04rlf,/t/dd00032"
LzSWdj4izHM,20.0,30.0,"/m/04rlf,/t/dd00032"
MSqQKf3O3vY,30.0,40.0,"/m/04rlf,/t/dd00032"
NNeEzTVATHg,30.0,40.0,"/m/04rlf,/m/0g293,/m/0ln16,/t/dd00032"
P6CmUYzGqN4,30.0,40.0,"/m/015y_n,/m/04rlf,/t/dd00032"
S_Z7o4OmU30,30.0,40.0,"/m/0164x2,/m/04rlf,/m/074ft,/t/dd00032"
T_aVP1MGvU0,30.0,40.0,"/m/04rlf,/t/dd00032"
TzotZou8i8Y,1.0,11.0,"/m/04rlf,/t/dd00032"
UGnOi_ekR6U,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00032"
VL6uF-XeE_A,30.0,40.0,"/m/04rlf,/t/dd00032"
XwCJZi8IlcU,30.0,40.0,"/m/04rlf,/t/dd00032"
YQe--RKMlK0,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00032"
Ze5zjEUlHKM,30.0,40.0,"/m/0164x2,/m/026z9,/m/04rlf,/m/09x0r,/t/dd00032"
aHs0wz6LNL8,30.0,40.0,"/m/015vgc,/m/01c194,/m/02bk07,/m/04rlf,/t/dd00032"
blYYW-EUGDA,30.0,40.0,"/m/018vs,/m/01glhc,/m/0342h,/m/04rlf,/m/0g12c5,/t/dd00032"
c9tRbWSk7c4,30.0,40.0,"/m/02sgy,/m/04rlf,/m/074ft,/t/dd00032"
hrLvOOeFM_M,30.0,40.0,"/m/01z7dr,/m/04rlf,/t/dd00032"
jP4M9V_Ka8k,30.0,40.0,"/m/04rlf,/t/dd00032"
ksImihlU3qM,30.0,40.0,"/m/04rlf,/t/dd00031,/t/dd00032"
liuCTk2nPG8,30.0,40.0,"/m/04rlf,/t/dd00032"
m9BunBnjTPA,30.0,40.0,"/m/0145m,/m/0164x2,/m/04rlf,/t/dd00032"
oZScu7DU5qk,30.0,40.0,"/m/0145m,/m/04rlf,/t/dd00032"
ogW2tWCxpPM,30.0,40.0,"/m/01z7dr,/m/04rlf,/t/dd00032"
qW1tO1qQstg,30.0,40.0,"/m/04rlf,/m/0l14gg,/t/dd00032"
rsvHQCTgHvg,30.0,40.0,"/m/02cjck,/m/04rlf,/t/dd00032"
s_BKo_1LzJM,30.0,40.0,"/m/02x8m,/m/04rlf,/m/0ggx5q,/t/dd00032"
tTPU1SGm_MA,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00032"
uT-S_JC_GzU,30.0,40.0,"/m/025td0t,/m/04rlf,/t/dd00032"
v56P6B3h2Ps,30.0,40.0,"/m/0145m,/m/04rlf,/m/0dq0md,/t/dd00032"
vKjC5HTH22o,160.0,170.0,"/m/04rlf,/t/dd00032"
y0AYIpO7uVE,130.0,140.0,"/m/015lz1,/m/04rlf,/m/09x0r,/t/dd00032"
zNQLIwV14w0,30.0,40.0,"/m/01z7dr,/m/04rlf,/t/dd00032"

